EN,DDN
"The book of the generation of Jesus Christ, the son of David, the son of Abraham.","Yesu Mɛsiyɑ ko ɑ̀ ci Dɑfidi ize, Abulɛmɑ ize, ɑ̀ cɛɛ kɑ cɛɛ yom tirɑ neyɑ."
Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judah and his brethren;,Abulɛmɑ nɑ Isɑɑkɑ hɛi. Isɑɑkɑ nɑ Yɑkɔfu hɛi. Yɑkɔfu mo nɑ Yudɑ ndɑ ɑ̀ bɛɛrɛ yom ndɑ ɑ̀ cɛɛnɛ yom hɛi.
and Judah begat Perez and Zerah of Tamar; and Perez begat Hezron; and Hezron begat Ram;,Yudɑ mo nɑ Fɑresi ndɑ Zerɑ hɛi Tɑmɑrɑ gɑɑ. Fɑresi nɑ Esirɑm hɛi. Esirɑm nɑ Arɑm hɛi.
and Ram begat Amminadab; and Amminadab begat Nahshon; and Nahshon begat Salmon;,Arɑm mo nɑ Aminɑdɑbu hɛi. Aminɑdɑbu mo nɑ Nɑɑsɑm hɛi. Nɑɑsɑm nɑ Sulumi hɛi.
and Salmon begat Boaz of Rahab; and Boaz begat Obed of Ruth; and Obed begat Jesse;,Sulumi mo nɑ Boɑzu hɛi Lɑhɑbu gɑɑ. Boɑzu nɑ Obe hɛi Lutɑ gɑɑ. Obe mo nɑ Yɑsɑi hɛi.
and Jesse begat David the king. And David begat Solomon of her that had been the wife of Uriah;,Yɑsɑi nɑ Kpe Dɑfidi hɛi. Kpe Dɑfidi mo nɑ Sɑlomɔ hɛi Uri wɛndɛ zeenɑ gɑɑ.
and Solomon begat Rehoboam; and Rehoboam begat Abijah; and Abijah begat Asa;,Sɑlomɔ nɑ Lobuɑm hɛi. Lobuɑm nɑ Abiɑ hɛi. Abiɑ nɑ Asɑ hɛi.
and Asa begat Jehoshaphat; and Jehoshaphat begat Joram; and Joram begat Uzziah;,Asɑ mo nɑ Yosufɑ hɛi. Yosufɑ nɑ Yorɑm hɛi. Yorɑm nɑ Uziɑ hɛi.
and Uzziah begat Jotham; and Jotham begat Ahaz; and Ahaz begat Hezekiah;,Uziɑ mo nɑ Yotɑm hɛi. Yotɑm nɑ Ahɑzɑ hɛi. Ahɑzɑ nɑ Ezeciɑ hɛi.
and Hezekiah begat Manasseh; and Manasseh begat Amon; and Amon begat Josiah;,Ezeciɑ mo nɑ Mɑnɑse hɛi. Mɑnɑse nɑ Amɔ hɛi. Amɔ nɑ Yosiɑ hɛi.
"and Josiah begat Jechoniah and his brethren, at the time of the carrying away to Babylon.",Yosiɑ mo nɑ Yekoniɑ ndɑ ɑ̀ cɛɛnɛ yom hɛi sɑɑ kɑ ǹ nɑ ǹ dii kɑ kpeindei Bɑbiloni lɑɑbu.
"And after the carrying away to Babylon, Jechoniah begat Shealtiel; and Shealtiel begat Zerubbabel;","Ǹ diiyom kɑ kpeindei Bɑbiloni lɑɑbu bɑndɑ no, Yekoniɑ mo nɑ Sɑlɑtilu hɛi. Sɑlɑtilu mo nɑ Zorobɑbe hɛi."
and Zerubbabel begat Abiud; and Abiud begat Eliakim; and Eliakim begat Azor;,Zorobɑbe nɑ Abiude hɛi. Abiude nɑ Eliɑkim hɛi. Eliɑkim mo nɑ Azoro hɛi.
and Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud;,Azoro mo nɑ Sɑdoki hɛi. Sɑdoki nɑ Akim hɛi. Akim nɑ Heludɑ hɛi.
and Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob;,Heludɑ nɑ Heliɑzuru hɛi. Heliɑzuru mo nɑ Mɑtɑm hɛi. Mɑtɑm nɑ Yɑkɔfu hɛi.
