EN,BBA
In the beginning God created the heavens and the earth.,"Sanam mɛ Gusunɔ u handunia torua, u wɔllu ka tem taka kua."
And the earth was waste and void; and darkness was upon the face of the deep: and the Spirit of God moved upon the face of the waters.,"Tem daa wãawa bitam. Gãanu kun wãa mɛ sɔɔ. Mɛn temɔ wɔru bɔkɔwa ga wãa mi, ma yam wɔ̃kura gu wukiri. Ma nim mu tɛrie tem mɛn wɔllu gia. Nim mɛn wɔllɔwa Gusunɔn Hunde ra n bɛllimɔ."
"And God said, Let there be light: and there was light.","Yera Gusunɔ u nɛɛ, yam bururam mu kooro. Ye u gerua mɛ, ma mu koora."
"And God saw the light, that it was good: and God divided the light from the darkness.","Ma yam bururam mɛ, mu nùn wɛ̃re. Saa yera u mu wunana ka yam wɔ̃kuru."
"And God called the light Day, and the darkness he called Night. And there was evening and there was morning, one day.","Ma u yam bururam soka sɔ̃ɔ sɔɔ, yam wɔ̃kuru maa wɔ̃kuru. Ma sɔ̃ɔ sɔɔ ge ka wɔ̃ku te, n swĩina ma n kua tɔ̃ɔ gbiikiru."
"And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.","Ma Gusunɔ u nɛɛ, gãanu nu tɛrio wɔllɔ nge gɔna kpa mu n nim bɔnu sãa."
"And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.","Ye u gerua mɛ, ma wom mu tɛria mu nim mɛ bɔnu kua. Sukum wãa nim wɔllɔ, sukum maa wãa temɔ."
"And God called the firmament Heaven. And there was evening and there was morning, a second day.","Ma u gãa ni soka wɔllu. Saa ye u yeba mɔ̀, sɔ̃ɔ sɔɔ ka wɔ̃kuru n swĩina ma n kua tɔ̃ru yiruse."
"And God said, Let the waters under the heavens be gathered together unto one place, and let the dry land appear: and it was so.","Ma Gusunɔ u nɛɛ, nim mɛ mu wãa wom dirum temɔ mu subenu koowo kpa tem gbebum mu tera. Ye u gerua mɛ, ma n koora."
And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good.,"Ma u tem gbebum mɛ soka tem, ma u maa nim sube nin baatere soka nim wɔ̃ku. Ma n nùn wɛ̃re."
"And God said, Let the earth put forth grass, herbs yielding seed, and fruit-trees bearing fruit after their kind, wherein is the seed thereof, upon the earth: and it was so.","Yera u nɛɛ, tem mu gãa dabinu kpiiyo, ka yaka si su ko n binu marumɔ ka dãa binugii bwese bweseka ni nu nin bweseru mɔ nin marum sɔɔ. Ye u gerua mɛ, ma n koora."
"And the earth brought forth grass, herbs yielding seed after their kind, and trees bearing fruit, wherein is the seed thereof, after their kind: and God saw that it was good.","Tem mu gãa dabinu kpia, ka yaka bwese bweseka si su binu marumɔ, ka dãa binugii bwese bweseka ni nu bweseru mɔ nin marum sɔɔ. Ma n nùn wɛ̃re."
"And there was evening and there was morning, a third day.","Ye u yeba mɔ̀, sɔ̃ɔ sɔɔ ka wɔ̃kuru n swĩina ma n kua tɔ̃ru itase."
"And God said, Let there be lights in the firmament of heaven to divide the day from the night; and let them be for signs, and for seasons, and for days and years:","Ma Gusunɔ u nɛɛ, fitilanu nu kooro wom dirum sɔɔ kpa nu sɔ̃ɔ sɔɔ ka wɔ̃kuru wunana, kpa nu n sɔ̃ɔsimɔ saa ye wɔ̃su ka tɔ̃ɔ bakanu koo tore."
and let them be for lights in the firmament of heaven to give light upon the earth: and it was so.,"Kpa nu n sãa fitilanu wom dirum sɔɔ nu ka tem yam bururasia. Ye u gerua mɛ, ma n koora."
"And God made the two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also.","U fitila bakanu yiru kua, niya sɔ̃ɔ ka suru. U maa kperi kua. U sɔ̃ɔ kuawa u n ka bandu dii sɔ̃ɔ sɔɔ, ma u suru kua u n ka bandu dii wɔ̃kuru."
"And God set them in the firmament of heaven to give light upon the earth,","Ma u ni kpuro doke wɔllɔ nu n ka tem yam bururasie,"
"and to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good.","kpa nu n sãa sɔ̃ɔ sɔɔ ka wɔ̃kurun sunɔ, kpa nu n yam bururam ka yam wɔ̃kuru wunanɛ. Ma n nùn wɛ̃re."
"And there was evening and there was morning, a fourth day.","Saa ye u yeba mɔ̀, sɔ̃ɔ sɔɔ ka wɔ̃kuru n swĩina ma n kua tɔ̃ru nnɛse."
"And God said, Let the waters swarm with swarms of living creatures, and let birds fly above the earth in the open firmament of heaven.","Ma Gusunɔ u nɛɛ, nim mu de hunde koniba dabi dabinu nu koora mɛ sɔɔ, kpa gunɔsu su n yɔ̃ɔmɔ wom dirum sɔɔ."
"And God created the great sea-monsters, and every living creature that moveth, wherewith the waters swarmed, after their kind, and every winged bird after its kind: and God saw that it was good.",Yera u swɛ̃ɛ bɛkɛ taka kua ka yɛɛ kpuro yi yi sĩimɔ yi yiba nim mɛ sɔɔ bwese bweseka. U maa gunɔsu kua bwese bweseka. Ma n nùn wɛ̃re.
"And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let birds multiply on the earth.","Yen biru u yi domaru kua u nɛɛ, yi kɔwaro yi dabia yi yibu nim wɔ̃kun nim sɔɔ kpa gunɔsu su dabia handunia sɔɔ."
"And there was evening and there was morning, a fifth day.","Saa ye u yeba mɔ̀, sɔ̃ɔ sɔɔ ka wɔ̃kuru n swĩina ma n kua tɔ̃ru nɔɔbuse."
"And God said, Let the earth bring forth living creatures after their kind, cattle, and creeping things, and beasts of the earth after their kind: and it was so.","Ma Gusunɔ u nɛɛ, yɛɛ bwese bweseka yi maruro tem sɔɔ. Yiya kpaaku yɛɛ ka gbeeku yɛɛ ka yɛɛ yi yi ra kabiri, yi kpuro bwese bweseka. Ye u gerua mɛ, ma n koora."
"And God made the beasts of the earth after their kind, and the cattle after their kind, and everything that creepeth upon the ground after its kind: and God saw that it was good.",U gbeeku yɛɛ kua bwese bweseka ka kpaaku yɛɛ ka yɛɛ yi yi ra kabiri. Ma n nùn wɛ̃re.
"And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the birds of the heavens, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.","Yen biru Gusunɔ u nɛɛ, kon tɔnu taka ko u n sãa nɛn weenasii mam mam, kpa u n sãa ye na taka kua kpuron wirugii. Yeya tem kpuro ka swɛ̃ɛ ka gunɔsu ka kpaaku yɛɛ ka yɛɛ yi yi ra kabiri temɔ kpuro."
"And God created man in his own image, in the image of God created he him; male and female created he them.","Ye u gerua mɛ, ma u tɔnu taka kua u ka nùn weenɛ mam mam. U bu kuawa durɔ ka kurɔ."
"And God blessed them: and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it; and have dominion over the fish of the sea, and over the birds of the heavens, and over every living thing that moveth upon the earth.","Ma u bu domaru kua u nɛɛ, i maruro i dabia i handunia yibu ya n sãa bɛɛgia kpa i n yɛɛ kpuro nɔma sikerenɛ. Yiya swɛ̃ɛ ka gunɔsu ka yɛɛ yi yi sĩimɔ temɔ kpuro."
"And God said, Behold, I have given you every herb yielding seed, which is upon the face of all the earth, and every tree, in which is the fruit of a tree yielding seed; to you it shall be for food:","U maa nɛɛ, wee ye i ko n da di. Yeya yakɔ bweseru baatere tem sɔɔ kpuro te ta ra binu ma, ka dãa binugiru baatere te ta ten bweseru mɔ ten marum sɔɔ."
"and to every beast of the earth, and to every bird of the heavens, and to everything that creepeth upon the earth, wherein there is life, I have given every green herb for food: and it was so.","Ma u maa handunian yɛɛ kpuro yi yi hunde mɔ yi sĩimɔ temɔ ka gunɔsu kpuro sɔ̃ɔwa u nɛɛ, na bɛɛ yakɔ beku baagere wɛ̃ i n da di. Ye u gerua mɛ, ma n koora."
"And God saw everything that he had made, and, behold, it was very good. And there was evening and there was morning, the sixth day.","Yera u mɛɛra kpuro ye u kua, ma n nùn wɛ̃re gem gem. Saa ye u yeba mɔ̀, sɔ̃ɔ sɔɔ ka wɔ̃kuru n swĩina ma n kua tɔ̃ru nɔɔba tiase."
